

Data Parameters
,charge, 2
,min explained_percent for unmod, 0
,modifications chosen,-18
,MS levels chosen,3
,modified spectra chosen, all ids with best MQScore

LP Parameters
,mass tolerance, 0.40
,bIdx,b,b2,b(iso)
,yIdx,y,y2,y(iso)

Grouping Parameters
,intensity threshold, 5
,bIdx for grouping,b,b2,b(iso)
,yIdx for grouping,y,y2,y(iso)

FDR parameters
,cosine threshold, 0.40
,FDR threshold, 0.05
cosine threshold, 0.40
score threshold, 60

threshold, FDR, k>=1,k=1,k=2,k=3,k=4,k=5
60.000000,0.052817,90.315415,90.315415,0.000000,0.000000,0.000000,0.000000,
55.000000,0.055569,91.470458,91.470458,0.000000,0.000000,0.000000,0.000000,
50.000000,0.062082,92.536650,92.492226,0.044425,0.000000,0.000000,0.000000,
45.000000,0.063941,93.380720,93.203021,0.177699,0.000000,0.000000,0.000000,
40.000000,0.069963,93.824967,93.203021,0.621946,0.000000,0.000000,0.000000,
39.000000,0.071172,93.824967,93.158596,0.666371,0.000000,0.000000,0.000000,
38.000000,0.073516,93.958241,93.247446,0.710795,0.000000,0.000000,0.000000,
37.000000,0.074650,94.002665,93.203021,0.799645,0.000000,0.000000,0.000000,
36.000000,0.076193,94.091515,93.247446,0.844069,0.000000,0.000000,0.000000,
35.000000,0.077659,94.224789,93.291870,0.932919,0.000000,0.000000,0.000000,
34.000000,0.078334,94.269214,93.203021,1.066193,0.000000,0.000000,0.000000,
33.000000,0.082615,94.358063,93.114171,1.243892,0.000000,0.000000,0.000000,
32.000000,0.084659,94.358063,93.114171,1.243892,0.000000,0.000000,0.000000,
31.000000,0.085767,94.358063,92.980897,1.377166,0.000000,0.000000,0.000000,
30.000000,0.087646,94.402488,92.892048,1.510440,0.000000,0.000000,0.000000,
25.000000,0.107402,94.757885,92.358952,2.354509,0.044425,0.000000,0.000000,
20.000000,0.135374,94.891159,91.426033,3.331853,0.133274,0.000000,0.000000,
15.000000,0.174160,95.379831,90.315415,4.931142,0.133274,0.000000,0.000000,
10.000000,0.231297,95.824078,87.916482,7.507774,0.399822,0.000000,0.000000,
5.000000,0.302689,96.490449,82.985340,12.927588,0.577521,0.000000,0.000000,



Trivial,  350
 ,confirmed Inspect, 290
 ,no assignment, 8
 ,incorrect assignment, 16
 ,rejected, 36
Non Trivial, 2178
 ,confirmed Inspect, 1725
 ,,not ambigous, 1228
 ,, ambigous, 497
 ,different site, 18
 ,mixture, 0
 ,no assignment, 88
 ,incorrect site, 106
 ,rejected, 241
Total, 2528


filename, light/heavy, #MS1, #MS2, #MS3, #MS2_id, #MS3_id, #unmod_ids, #mod, #unmod_uniq, #mod_uniq
spectra_files/claudio_unphospho_final/CIP_5mg10pct,light,9012,9392,0,835,0,795,40,619,37,
spectra_files/claudio_unphospho_final/CIP_5mg10pct1,light,8567,9717,0,974,0,902,72,754,66,
spectra_files/claudio_unphospho_final/CIP_5mg10pct2,light,8052,9808,0,925,0,865,60,713,57,
spectra_files/claudio_unphospho_final/CIP_5mg10pct3,light,7591,9901,0,968,0,903,65,765,60,
spectra_files/claudio_unphospho_final/CIP_5mg10pct_dep,light,8236,9421,0,615,0,572,43,507,42,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC14_3h,light,4232,11244,0,459,0,418,41,346,35,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC15_3h,light,6004,10907,0,518,0,460,58,370,46,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC16_3h,light,5701,11027,0,886,0,817,69,645,63,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC17_3h,light,4972,11186,0,1073,0,971,102,763,75,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC18_3h,light,3539,11576,0,1262,0,1137,125,888,96,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC19_3h,light,2788,11671,0,1226,0,1107,119,805,88,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC20_3h,light,2901,11702,0,1306,0,1177,129,797,92,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC21_3h,light,2664,11601,0,1162,0,1039,123,733,89,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC22_3h,light,2964,11616,0,1158,0,1076,82,646,62,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC23_3h,light,3425,11373,0,959,0,844,115,593,95,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC24_3h,light,4134,11205,0,833,0,723,110,545,91,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC25_3h,light,4397,11088,0,736,0,661,75,485,65,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC26_3h,light,5053,11202,0,604,0,555,49,416,42,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC27_3h,light,2529,11863,0,403,0,362,41,283,37,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC28_3h,light,4696,10702,0,132,0,121,11,103,10,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC29_3h,light,11186,9309,0,82,0,78,4,71,4,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt,light,8042,7601,0,856,0,169,687,142,619,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt1,light,7298,10109,0,973,0,244,729,194,649,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt2,light,8401,7542,0,797,0,146,651,131,588,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt3,light,8083,7616,0,792,0,168,624,143,570,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt_dep,light,9491,6906,0,495,0,89,406,80,392,
spectra_files/claudio_unphospho_final/IMAC_ltq_compare,light,8446,14695,0,1076,0,50,1026,48,931,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC17,light,14037,11849,0,272,0,221,51,173,34,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC18,light,13241,13901,0,352,0,287,65,245,38,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC19,light,12428,16065,0,529,0,441,88,382,64,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC20,light,12790,14841,0,591,0,479,112,409,90,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC21_080815165034,light,12333,14563,0,749,0,615,134,498,103,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC22,light,10868,17791,0,797,0,632,165,528,135,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC28,light,15168,5304,0,7,0,9,0,6,0,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC29,light,15481,3849,0,3,0,9,0,3,0,
spectra_files/claudio_unphospho_final/10pcr_CIP_wt_mec1tel14_080426221801,heavy,13036,8685,0,945,0,882,63,714,57,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel1,heavy,12439,8867,0,910,0,853,57,693,55,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel12,heavy,12046,8951,0,934,0,889,45,725,41,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel13,heavy,14258,8413,0,1022,0,958,64,790,60,
spectra_files/claudio_unphospho_final/10pct_CIP_wt_mec1tel1dep,heavy,15766,7835,0,712,0,665,47,592,46,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel1,heavy,8176,10111,0,740,0,107,633,78,507,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel12,heavy,8814,9981,0,675,0,97,578,76,501,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel13_080425053734,heavy,8611,10008,0,673,0,85,588,67,501,
spectra_files/claudio_unphospho_final/10pct_IMAC_wt_mec1tel1dep,heavy,11041,9042,0,407,0,70,337,59,322,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC14,heavy,2108,9054,0,166,0,146,20,133,16,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC15,heavy,2548,9070,0,244,0,216,28,186,15,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC16,heavy,1994,9148,0,405,0,364,41,298,30,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC17,heavy,1846,9256,0,750,0,694,56,585,45,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC18,heavy,2204,9419,0,875,0,788,87,658,69,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC19,heavy,2049,9426,0,959,0,859,100,725,85,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC20,heavy,1687,9617,0,955,0,865,90,670,60,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC21,heavy,1642,9604,0,914,0,837,77,620,63,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC22,heavy,2648,9311,0,837,0,759,78,518,65,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC23,heavy,1592,9382,0,795,0,697,98,515,72,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC24,heavy,1622,9729,0,1034,0,959,75,432,66,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC25,heavy,1799,9285,0,598,0,513,85,379,73,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC26,heavy,2092,9101,0,478,0,431,47,315,41,
spectra_files/claudio_unphospho_final/CIP2_60pct_HILIC27,heavy,1708,9054,0,320,0,296,24,185,20,
spectra_files/claudio_unphospho_final/CIP_5mg10pct,heavy,9012,9392,0,733,0,684,49,552,45,
spectra_files/claudio_unphospho_final/CIP_5mg10pct1,heavy,8567,9717,0,796,0,753,43,640,42,
spectra_files/claudio_unphospho_final/CIP_5mg10pct2,heavy,8052,9808,0,756,0,707,49,608,46,
spectra_files/claudio_unphospho_final/CIP_5mg10pct3,heavy,7591,9901,0,745,0,694,51,595,48,
spectra_files/claudio_unphospho_final/CIP_5mg10pct_dep,heavy,8236,9421,0,457,0,431,26,400,26,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC14_3h,heavy,4232,11244,0,360,0,327,33,268,25,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC15_3h,heavy,6004,10907,0,431,0,388,43,312,30,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC16_3h,heavy,5701,11027,0,813,0,738,75,575,65,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC17_3h,heavy,4972,11186,0,968,0,878,90,713,77,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC18_3h,heavy,3539,11576,0,1088,0,977,111,777,89,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC19_3h,heavy,2788,11671,0,1049,0,942,107,699,83,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC20_3h,heavy,2901,11702,0,1125,0,1013,112,697,88,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC21_3h,heavy,2664,11601,0,1057,0,943,114,656,94,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC22_3h,heavy,2964,11616,0,1007,0,916,91,597,69,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC23_3h,heavy,3425,11373,0,865,0,759,106,559,96,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC24_3h,heavy,4134,11205,0,720,0,601,119,473,107,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC25_3h,heavy,4397,11088,0,657,0,571,86,437,77,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC26_3h,heavy,5053,11202,0,561,0,489,72,380,62,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC27_3h,heavy,2529,11863,0,373,0,313,60,240,54,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC28_3h,heavy,4696,10702,0,143,0,123,20,106,17,
spectra_files/claudio_unphospho_final/IMAC5_CIP_50PCT_HILIC29_3h,heavy,11186,9309,0,67,0,62,5,53,5,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt,heavy,8042,7601,0,677,0,127,550,103,504,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt1,heavy,7298,10109,0,779,0,209,570,168,503,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt2,heavy,8401,7542,0,639,0,114,525,98,478,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt3,heavy,8083,7616,0,636,0,136,500,118,464,
spectra_files/claudio_unphospho_final/IMAC_5mg10pt_dep,heavy,9491,6906,0,394,0,77,317,73,303,
spectra_files/claudio_unphospho_final/IMAC_ltq_compare,heavy,8446,14695,0,700,0,40,660,39,614,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC17,heavy,14037,11849,0,223,0,183,40,146,30,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC18,heavy,13241,13901,0,314,0,253,61,212,35,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC19,heavy,12428,16065,0,444,0,375,69,330,52,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC20,heavy,12790,14841,0,486,0,408,78,350,66,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC21_080815165034,heavy,12333,14563,0,622,0,526,96,435,76,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC22,heavy,10868,17791,0,662,0,550,112,445,93,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC28,heavy,15168,5304,0,3,0,9,0,2,0,
spectra_files/claudio_unphospho_final/Rad53_CIP_HILIC29,heavy,15481,3849,0,2,0,9,0,2,0,
spectra_files/mark_unphospho/Yeast-cip-2,light,10258,30311,114,710,2,683,29,448,24,
spectra_files/mark_unphospho/Yeast-cip,light,6105,36321,0,743,0,719,24,485,22,
spectra_files/mark_unphospho/Yeast,light,5733,34353,0,1830,0,929,901,464,575,
spectra_files/mark_phospho/yeast-1ul-top3-MS3-75micron-2,light,8146,24389,3111,1887,391,899,1379,485,1121,
spectra_files/mark_phospho/yeast-1ul-top3-MS3-75micron,light,8215,24595,3007,1772,304,865,1211,496,962,
spectra_files/mark_phospho/yeast-1ul-top3-MS3-novent,light,2821,8463,803,892,171,421,642,150,351,
spectra_files/mark_phospho/yeast-1ul-top3-MS3,light,2375,7125,471,901,89,464,526,125,239,
spectra_files/mark_phospho/yeast-1ul-top6-75micron-2,light,5503,32954,0,2285,0,1131,1154,571,840,
spectra_files/mark_phospho/yeast-1ul-top6-75micron,light,5558,33253,0,2112,0,1101,1011,547,702,
spectra_files/mark_phospho/yeast-1ul-top6-novent,light,1789,10734,0,854,0,386,468,151,249,
spectra_files/mark_phospho/yeast-1ul-top6,light,1481,8886,0,1040,0,593,447,134,181,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC14,light,0,9108,0,368,0,339,29,296,24,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC15,light,0,9087,0,424,0,383,41,326,37,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC16,light,0,9329,0,662,0,620,42,529,38,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC17,light,0,9468,0,826,0,757,69,639,59,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC18,light,0,9673,0,870,0,792,78,677,66,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC19,light,0,9729,0,910,0,836,74,665,61,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC20,light,0,9895,0,947,0,864,83,631,66,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC21,light,0,9927,0,916,0,842,74,608,59,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC22,light,0,9612,0,847,0,783,64,542,52,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC23,light,0,9704,0,797,0,714,83,552,74,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC24,light,0,10231,0,634,0,560,74,438,65,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC25,light,0,9306,0,563,0,507,56,367,51,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC26,light,0,9719,0,516,0,472,44,370,39,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC27,light,0,9924,0,368,0,334,34,256,31,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC28,light,0,9411,0,96,0,96,0,83,0,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC29,light,0,8974,0,51,0,50,1,46,1,
spectra_files/claudio_phospho/IMAC1,light,0,9189,0,723,0,46,677,39,600,
spectra_files/claudio_phospho/IMAC2,light,0,9176,0,733,0,41,692,37,630,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC21,light,0,10586,0,507,0,124,383,104,314,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC22,light,0,10807,0,477,0,92,385,78,311,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC23,light,0,10576,0,327,0,51,276,41,243,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC24,light,0,10639,0,394,0,55,339,49,265,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC25,light,0,10799,0,295,0,46,249,44,210,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC27,light,0,10930,0,108,0,23,85,23,76,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC28,light,0,10486,0,37,0,7,30,7,27,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC29,light,0,9904,0,19,0,1,18,1,18,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC30,light,0,9705,0,17,0,1,16,1,15,
spectra_files/claudio_phospho/IMAC5_10mg_HILIC31,light,0,9185,0,21,0,0,21,0,20,
spectra_files/claudio_phospho_MS3/Nuno_IMAC,light,3185,17552,0,427,0,142,285,130,243,
spectra_files/claudio_phospho_MS3/Nuno_IMAC_100809210927,light,3002,15391,3702,833,273,221,885,96,318,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC10,light,3827,16503,2327,901,179,479,601,155,152,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC11,light,3578,16411,2680,857,295,282,870,90,167,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC12,light,3552,16577,2590,499,166,145,520,52,139,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC13,light,3370,12799,2347,515,181,90,606,37,165,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC14,light,3553,11718,2799,866,306,141,1031,41,212,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC15,light,3504,12360,2413,573,255,70,758,25,242,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC16,light,3362,12560,2462,492,254,14,732,9,228,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC17,light,3418,12557,2308,304,140,22,422,10,164,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC18,light,3265,12963,2145,367,184,10,541,8,141,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC19,light,3465,12973,1974,281,137,6,412,4,142,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC20,light,3577,13156,1776,256,102,11,347,4,86,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC21,light,3215,13016,2114,155,64,7,212,6,83,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC6,light,3685,19759,405,81,30,50,61,17,25,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC7,light,5114,17549,363,836,19,762,93,146,19,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC8,light,4209,17878,918,1248,59,1087,220,270,45,
spectra_files/claudio_phospho_MS3/nunoMS3_HILIC9,light,4419,17179,1383,765,46,638,173,159,61,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC10,light,4166,12136,832,1186,28,1133,81,829,70,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC10_100914091558,light,3234,11696,1613,1311,40,1253,98,899,84,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC11,light,4363,11496,909,1210,50,1112,148,785,127,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC11_100914113223,light,3299,11265,1784,1214,63,1115,162,761,127,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC12,light,4234,11596,1190,940,60,840,160,675,139,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC12_100914134849,light,3228,10979,2254,935,59,842,152,685,140,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC13,light,4486,10906,1321,839,61,720,180,607,162,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC13_100914160512,light,3336,10470,2517,829,65,703,191,597,164,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC14,light,3710,11006,1511,901,112,718,295,560,238,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC15,light,3002,10495,2885,498,88,354,232,302,208,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC16,light,2848,10287,3166,540,100,400,240,331,223,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC17,light,3069,10419,2855,699,116,515,300,407,257,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC18,light,2875,10334,3092,597,119,393,323,330,284,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC19,light,2927,10671,2760,478,36,385,129,324,124,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC20,light,3015,10673,2681,430,50,362,118,321,98,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC7,light,2854,13298,1615,1153,43,1095,101,786,92,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC8,light,3404,12141,1107,1282,14,1242,54,887,43,
spectra_files/claudio_phospho_MS3_final/Ms3_Nuno_final_HILIC9,light,3403,11739,1311,1374,28,1332,70,918,56,
spectra_files/claudio_phospho_MS3_final/ms3_Nuno_final,light,4284,9864,1324,1151,115,983,283,828,262,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC14,heavy,0,9108,0,314,0,286,28,246,22,
spectra_files/claudio_unphospho/IMAC5_CIP_50PCT_HILIC15,heavy,0,9087,0,361,0,327,34,286,28,
